"nearest_school","school_type","children_served","avg_walk_time_min","n_points_served"
"Melba","high",2838.3,34.5069050152723,110
"Caroline Chisholm","high",2697.7,29.6817180524149,70
"Stromlo","high",1606.3,41.7953992333109,121
"Lanyon","high",1594.5,28.571163042457,37
"Wanniassa","high",1466.3,27.6287609503629,32
"Calwell","high",1421.7,23.9780776532377,29
"Gold Creek","high",1247.1,48.2287126566805,94
"Melrose","high",1237.7,28.067918200017,87
"Lyneham","high",1130.1,32.6564378330853,69
"Telopea Park","high",1117.5,31.7533348689942,102
"Kambah","high",1076.6,29.3203781292215,15
"Alfred Deakin","high",923.9,39.31470281459,66
"Ginninderra","high",871,40.0757030477892,69
"Kaleen","high",825.5,23.9680859114438,34
"Canberra","high",638.8,40.9489616937944,81
"Campbell","high",574.6,28.5063374547265,80
"Belconnen","high",556.9,19.9210959935853,38
"Harrison","high",271.6,43.6487223278673,92
"Nicholls","high",89.2,41.3704370855496,3
"Charles Conder","primary",879.4,16.4586245112242,18
"Gilmore","primary",802.6,21.1345137536955,24
"Ngunnawal","primary",746.4,36.4604769874929,71
"Gordon","primary",736.4,14.9919462723325,9
"Calwell","primary",732.5,14.8446408328448,12
"Palmerston","primary",687.6,17.1660537988742,26
"Florey","primary",636.2,16.0770803704406,24
"Mt Neighbour","primary",619.2,16.7054555252035,7
"Wanniassa Hills","primary",559,13.5920063895316,9
"Bonython","primary",528.6,17.0684260102579,14
"Isabella Plains","primary",524.6,14.8759654431269,11
"Theodore","primary",505.8,14.7363600187797,10
"Richardson","primary",499.5,12.6308581377149,12
"Narrabundah","primary",443.1,33.3349900093934,28
"Charnwood","primary",441.5,16.2952303733286,20
"Monash","primary",421,17.8639674411722,17
"Kaleen","primary",412,16.3108958782846,12
"Miles Franklin","primary",411.5,16.236671272477,14
"Arawang","primary",401.5,12.2405708727238,27
"Farrer","primary",401.4,19.4928702586578,22
"Ainslie","primary",398.7,23.3673591767752,55
"Gowrie","primary",379.8,9.71529406943175,12
"Latham","primary",369.2,13.17712074405,13
"Majura","primary",358.4,24.6984432064197,29
"North Ainslie","primary",349.8,11.940537550477,21
"Cook","primary",344.2,34.9102503118646,42
"Macgregor","primary",337.5,28.8696642337685,32
"Giralang","primary",332.6,12.4825545936371,16
"Fadden","primary",307.5,21.0801487046378,16
"Gold Creek","primary",298.5,13.3997307380548,9
"Weston","primary",294.9,20.3471737171873,18
"Duffy","primary",275.1,38.7910693358741,51
"Curtin","primary",270.9,23.1100630063973,15
"Mawson","primary",265,13.9382478746068,18
"Hughes","primary",255.6,13.8705250408009,17
"Evatt","primary",253.2,10.6053912130917,9
"Flynn","primary",239.7,9.90691940409292,10
"Wanniassa","primary",238.9,18.7073205917475,7
"Nicholls","primary",238.8,19.8246020368819,5
"Chapman","primary",233.5,9.92938814033459,15
"Spence","primary",231.4,27.1439554313727,20
"Higgins","primary",226.4,11.3983232008421,11
"Rivett","primary",220.2,9.94892876195469,11
"Hackett","primary",216.6,13.6302160400717,12
"Macquarie","primary",216.6,14.4121628590319,17
"Lyneham","primary",210.2,17.6957689398466,10
"Fraser","primary",209.9,8.76166936619795,12
"Yarralumla","primary",208.7,40.8629677945193,30
"Garran","primary",188.7,21.0015776351643,20
"Holt","primary",180.5,18.1881165888999,10
"Mt Rogers Community School","primary",179.2,6.2747944317382,7
"Red Hill","primary",175.1,20.8817287728271,11
"Torrens","primary",173.4,11.880157200434,15
"Hawker","primary",173.2,16.6092989744597,17
"Weetangera","primary",172.4,11.0159518397716,12
"Telopea Park","primary",160.9,28.5179704606449,56
"Melrose","primary",151.3,13.6540863829442,14
"Forrest","primary",142.4,13.4430252052036,14
"Maribyrnong","primary",133.4,23.0035513528271,13
"Lyons","primary",132.8,10.203643536798,10
"Urambi","primary",126.3,18.526904863005,2
"Taylor","primary",122.2,15.1033219489309,1
"Village Creek","primary",122.2,20.1378357275893,1
"Turner","primary",117.1,18.5308254015932,21
"Co-operative","primary",57.4,33.1407525893487,11
"Hall","primary",15.6,23.1062126463425,11
"Harrison","primary",0.6,30.6519223044011,51
