"nearest_school","school_type","children_served","avg_walk_time_min","n_points_served","geom"
"Amaroo","high",3506,32.437996964517,80,c(149.1261252, -35.1649299)
"Stromlo","high",2715.3,42.5588684967452,119,c(149.0516136, -35.3547094)
"Melba","high",2624.6,33.9503409748134,106,c(149.0470231, -35.2136279)
"Harrison","high",1976.5,32.9456210289172,60,c(149.1497023, -35.1996408)
"Lyneham","high",1592.9,31.7416681176717,66,c(149.1279431, -35.2524674)
"Gold Creek","high",1522.7,37.8376803260484,49,c(149.0892577, -35.1799884)
"Melrose","high",1420.4,28.0590879668775,88,c(149.0861914, -35.3626372)
"Caroline Chisholm","high",1405.5,29.7478243794379,68,c(149.1193667, -35.4188329)
"Telopea Park","high",1386.7,32.4966924399613,103,c(149.1311363, -35.3137041)
"Kingsford smith","high",1350.7,39.6564980776283,70,c(149.0208201, -35.2277414)
"Lanyon","high",1343.7,27.4020211462617,37,c(149.0929233, -35.4605807)
"Alfred Deakin","high",1181.5,38.4967741414639,65,c(149.0926153, -35.3239206)
"Wanniassa","high",1009.6,27.6789925000198,32,c(149.0837932, -35.3961431)
"Canberra","high",995.8,40.8184014117322,81,c(149.0707514, -35.2506565)
"Kaleen","high",853.8,24.0877679638935,35,c(149.1012824, -35.2252162)
"Calwell","high",845.1,24.2249814903366,31,c(149.1150207, -35.4407786)
"Campbell","high",805.3,28.8117753807445,82,c(149.1443007, -35.2779224)
"Namadgi","high",731,34.2227231536366,12,c(149.0630415, -35.3920133)
"Belconnen","high",663.5,22.0948413587518,42,c(149.036645, -35.2470866)
"Kambah","high",241.8,16.0136156633714,4,c(149.0653375, -35.3920134)
"Alternative Education Program","high",0,NA,0,c(149.0271691, -35.3876491)
"Amaroo","primary",1917.7,28.7109867546295,50,c(149.1261252, -35.1649299)
"Ngunnawal","primary",1697.4,28.9084003285855,32,c(149.10622, -35.1687183)
"Charles weston","primary",1274.9,33.3081895856531,54,c(149.0357537, -35.3202792)
"Harrison","primary",1261.2,27.1048462760619,30,c(149.1497023, -35.1996408)
"Palmerston","primary",1027.9,16.3396157358714,25,c(149.1183738, -35.1974687)
"Charnwood","primary",727,15.0691896814316,23,c(149.0355964, -35.1993489)
"Majura","primary",714.7,24.4006753314041,29,c(149.1529142, -35.2380831)
"Macgregor","primary",666.9,28.3000814971546,32,c(149.0097545, -35.2126045)
"Charles Conder","primary",634.3,16.8448737611868,19,c(149.0982445, -35.4646698)
"Arawang","primary",609.3,13.5055376081948,31,c(149.0588281, -35.3541879)
"Narrabundah","primary",565.2,32.9239116676614,28,c(149.1346509, -35.3340565)
"Namadgi","primary",554.4,19.3456585967471,6,c(149.0630415, -35.3920133)
"Florey","primary",549.3,15.8019837426092,24,c(149.0527847, -35.226326)
"Macquarie","primary",512.7,24.0829602568314,35,c(149.0571937, -35.251255)
"Throsby","primary",491.6,13.9689456644657,13,c(149.1617863, -35.1939677)
"Duffy","primary",486.6,18.7753122809846,22,c(149.0331774, -35.3349207)
"North Ainslie","primary",473.5,12.1183143679553,21,c(149.1444493, -35.2544831)
"Wanniassa Hills","primary",465.7,14.6262457909761,10,c(149.0959728, -35.3929717)
"Latham","primary",459.8,13.6050944664083,15,c(149.0318377, -35.2198986)
"Calwell","primary",447.2,13.8853715718929,12,c(149.1083403, -35.4386589)
"Lyons","primary",430.4,17.2690924768279,24,c(149.0739612, -35.3415836)
"Gordon","primary",427.5,14.5727211781725,9,c(149.0866808, -35.4566028)
"Kaleen","primary",423.4,16.5471650631531,13,c(149.1106673, -35.2240194)
"Gold Creek","primary",420.4,18.0927822277783,12,c(149.0993036, -35.1814147)
"Aranda","primary",408.5,28.6398053155262,30,c(149.0792638, -35.2562061)
"Chapman","primary",390.2,12.2428472522989,21,c(149.0430134, -35.3566886)
"Bonython","primary",387.2,17.4012158192335,14,c(149.0833263, -35.4312678)
"Miles Franklin","primary",375.3,15.3719305556463,14,c(149.0652295, -35.213207)
"Gilmore","primary",363.7,22.3498098934281,21,c(149.1345294, -35.4188393)
"Garran","primary",351.4,20.7242586130301,22,c(149.1030744, -35.3439836)
"Mawson","primary",344,14.7506246505109,22,c(149.0929883, -35.3585287)
"Curtin","primary",340.5,22.967878076239,16,c(149.0797714, -35.3311447)
"Farrer","primary",321.8,19.0060307934233,22,c(149.1068828, -35.3783817)
"Monash","primary",314.1,18.2428185570526,16,c(149.0790973, -35.4148401)
"Isabella Plains","primary",296,14.7917572088452,10,c(149.088214, -35.42835)
"Ainslie","primary",295,16.4732810344783,37,c(149.1393399, -35.2737703)
"Hughes","primary",289.9,14.4379949535874,15,c(149.0925203, -35.3318231)
"Richardson","primary",277.5,12.6434570944632,11,c(149.1095852, -35.428604)
"Telopea Park","primary",277.3,20.2195223894829,35,c(149.1311363, -35.3137041)
"Giralang","primary",274.9,11.697827525698,14,c(149.0951123, -35.2139174)
"Hackett","primary",269,12.8935233350227,12,c(149.1629363, -35.2501744)
"Maribyrnong","primary",253.7,22.0146278742439,11,c(149.0997009, -35.2348673)
"Kingsford smith","primary",247.8,18.1936465958972,10,c(149.0208201, -35.2277414)
"Gowrie","primary",247.8,8.50360030119512,10,c(149.1110054, -35.412839)
"Urambi","primary",238.8,16.8058285355537,5,c(149.0627489, -35.3940915)
"Fadden","primary",237.3,21.7880102866171,16,c(149.1183272, -35.4039221)
"Mt Rogers Community School","primary",235.5,8.78061003490717,9,c(149.0543933, -35.208309)
"Theodore","primary",232.7,16.0962810043105,11,c(149.1181744, -35.4474379)
"Evatt","primary",225.2,11.9075208383417,10,c(149.0753689, -35.206991)
"Spence","primary",221.5,39.9906017192109,31,c(149.063001, -35.1995111)
"Campbell","primary",221.4,18.8249752524335,39,c(149.1552684, -35.2907911)
"Higgins","primary",209.7,10.3391263433747,10,c(149.0251402, -35.2328498)
"Lyneham","primary",206.6,13.8672044521835,8,c(149.1117903, -35.2519376)
"Red Hill","primary",202.3,20.6489081039289,11,c(149.1285921, -35.3393215)
"Torrens","primary",200.8,10.227088070292,15,c(149.0888096, -35.3713461)
"Chisholm","primary",198.2,10.1075588245522,6,c(149.1223385, -35.4199319)
"Weetangera","primary",189.2,11.1980222850264,12,c(149.0470832, -35.2517049)
"Hawker","primary",187.6,16.7677805890609,17,c(149.034252, -35.2500356)
"Yarralumla","primary",187.5,28.5634346082475,20,c(149.0994488, -35.3067182)
"Fraser","primary",185.4,11.5302777738189,14,c(149.042891, -35.1920207)
"Wanniassa","primary",179.6,18.0110231936397,7,c(149.0851303, -35.3985034)
