"nearest_school","school_type","children_served","avg_walk_time_min","n_points_served","geom"
"Village Creek","primary",122.2,11.3007216190648,1,c(149.0720443, -35.3868692)
"Turner","primary",117.1,18.5515761391712,21,c(149.1233823, -35.2646577)
"Maribyrnong","primary",116.8,22.0146278742439,11,c(149.0997009, -35.2348673)
"Hall","primary",75.3,23.8728327159592,14,c(149.0685202, -35.1680533)
"Nicholls","primary",59.7,20.1034842833031,1,c(149.0874783, -35.1884794)
"Co-operative","primary",57.4,28.300367345328,8,c(149.1205169, -35.2611377)
"Harrison","primary",0.6,30.6926792271878,50,c(149.1497023, -35.1996408)
"Uriarra","primary",0,NA,0,c(148.92688, -35.2964)
"Tharwa","primary",0,NA,0,c(149.0674348, -35.5085585)
"Southern Cross","primary",0,43.1321741831483,12,c(148.9759189, -35.2463171)
"Taylor","primary",0,23.6367532063423,1,c(149.0636151, -35.3773061)
"Urambi","primary",0,NA,0,c(149.0627489, -35.3940915)
